keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
pool bounce,USD,20,0%,-60%,High,100,0.34,1.89,,,,,,30,10,40,30,10,10,10,10,70,20,10,20,other
princess carriage bounce house,USD,30,-20%,33%,High,89,0.46,1.50,,,,,,30,30,40,20,10,10,20,30,30,50,30,40,other
princess castle bounce house with slide,USD,10,-50%,0%,High,100,,,,,,,,10,10,10,10,10,10,10,0,10,20,10,10,other
princess inflatable bounce house,USD,30,-50%,-50%,High,100,0.31,1.29,,,,,,30,20,20,30,20,20,20,30,50,40,50,20,other
purchase bounce house with slide,USD,10,0%,0%,High,100,,,,,,,,10,10,0,10,10,0,0,10,10,10,10,10,other
pvc inflatable water slide,USD,2400,133%,0%,High,100,0.32,1.19,,,,,,14800,8100,3600,10,0,10,10,10,10,30,70,70,other
rainbow combo bounce house,USD,10,0%,0%,High,100,,,,,,,,10,10,10,0,10,10,0,10,10,10,10,10,other
real bounce house,USD,10,0%,0%,High,100,0.83,1.94,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
regular bounce house,USD,30,0%,-20%,High,84,0.18,0.63,,,,,,30,30,20,20,20,10,20,10,40,40,40,40,other
rent a bounce house for a day,USD,10,0%,-50%,High,75,0.70,1.69,,,,,,10,10,10,10,10,10,10,40,10,10,10,10,deprioritize_rental
rent blow up slides near me,USD,10,100%,-33%,Medium,65,0.34,1.80,,,,,,40,20,10,10,10,10,10,10,10,10,10,20,deprioritize_rental
rent jump,USD,210,0%,0%,Medium,61,0.95,2.64,,,,,,210,170,210,170,140,90,140,170,260,210,260,210,deprioritize_rental
rent to own water slides,USD,10,100%,-33%,High,100,0.35,1.65,,,,,,10,10,10,0,10,0,10,0,10,10,10,20,deprioritize_rental
rent water jump house,USD,10,100%,0%,High,100,0.64,1.87,,,,,,20,10,10,0,10,10,0,10,10,10,20,20,deprioritize_rental
replacement parts for inflatable water slides,USD,70,367%,-46%,High,79,0.16,0.59,,,,,,210,110,40,20,10,10,10,20,50,30,70,140,other
round bounce house,USD,210,23%,-33%,High,98,0.29,1.93,,,,,,320,320,260,170,170,170,140,140,210,260,320,320,other
rules for bounce house,USD,10,0%,-67%,Medium,61,,,,,,,,10,10,20,10,10,10,10,10,10,10,10,10,other
scary bounce house,USD,30,-25%,-25%,Low,33,,,,,,,,20,40,30,70,20,10,10,20,20,40,40,30,other
ship bounce house,USD,20,100%,0%,High,100,1.08,2.04,,,,,,20,20,20,20,10,10,20,20,20,10,20,20,other
show me bounce houses,USD,10,0%,0%,High,91,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10,other
skid loader bounce house for sale,USD,10,0%,0%,High,100,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,secondary
slide and bounce house,USD,10,0%,-67%,High,100,0.40,6.08,,,,,,30,30,10,10,10,10,10,10,10,10,10,10,other
slide bounce,USD,390,51%,-18%,High,100,0.38,1.70,,,,,,590,480,390,320,210,170,170,210,390,390,590,590,other
slide jumping,USD,140,21%,0%,High,82,0.38,1.61,,,,,,170,170,140,140,90,90,140,140,170,140,170,170,other
slip and slide inflatable for sale,USD,210,457%,179%,High,100,0.30,1.20,,,,,,390,720,390,10,20,20,10,20,50,70,110,390,secondary
slip and slide jumper,USD,30,133%,40%,High,97,0.47,2.01,,,,,,70,30,10,20,10,10,10,10,20,30,40,70,other
small bounce,USD,40,0%,67%,High,88,,,,,,,,30,40,50,20,40,30,20,20,30,50,70,50,other
small bounce house with water slide,USD,20,100%,-20%,High,100,0.38,1.34,,,,,,50,20,10,10,10,10,0,10,20,20,40,40,other
small castle bounce house,USD,40,75%,75%,High,100,0.25,1.30,,,,,,30,40,50,30,30,10,30,30,30,40,30,70,other
small inflatable bouncer,USD,10,0%,0%,High,67,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10,other
small inflatable house,USD,20,200%,200%,High,100,,,,,,,,10,20,20,30,20,20,20,30,20,10,20,30,other
small inflatable jumper,USD,10,0%,0%,High,100,0.18,0.60,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
small outdoor bounce house,USD,30,0%,67%,High,100,0.16,0.72,,,,,,20,10,20,20,20,10,30,30,50,50,40,50,other
small water jumper,USD,30,125%,-36%,High,100,0.24,1.13,,,,,,70,30,10,10,10,10,10,10,50,40,40,90,other
small water slide jumper,USD,10,100%,-33%,High,100,0.38,1.70,,,,,,40,50,10,0,10,0,10,10,10,10,20,20,other
space jump bounce house,USD,10,0%,0%,High,77,,,,,,,,10,10,0,0,10,10,10,10,10,10,10,10,other
space jump water slide,USD,10,0%,-50%,High,100,1.50,3.67,,,,,,20,10,10,10,10,10,10,0,10,10,10,10,other
spongebob bounce house for sale,USD,20,50%,50%,High,100,,,,,,,,40,20,20,20,10,10,30,20,30,20,30,30,secondary
square bounce house,USD,20,50%,50%,High,100,,,,,,,,40,20,20,20,10,10,10,10,10,20,40,30,other
standard bounce house size,USD,40,-20%,33%,High,100,0.87,2.22,,,,,,40,30,40,50,30,20,30,30,30,50,50,40,other
start a bounce house rental business,USD,10,0%,-67%,Low,5,,,,,,,,20,20,10,10,10,10,10,10,20,10,10,10,deprioritize_rental
starting a bounce house company,USD,10,∞,0%,Low,0,,,,,,,,10,10,10,10,10,0,10,10,10,0,10,10,other
starting an inflatable business,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,other
summer outdoor inflatables,USD,10,-67%,-50%,High,100,0.38,1.96,,,,,,20,10,10,10,0,0,10,10,20,30,20,10,other
superhero inflatable bounce house,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,other
