keyword,currency,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low,bid_high,ad_impression_share,organic_impression_share,organic_avg_position,in_account,in_plan,searches_2025_07,searches_2025_08,searches_2025_09,searches_2025_10,searches_2025_11,searches_2025_12,searches_2026_01,searches_2026_02,searches_2026_03,searches_2026_04,searches_2026_05,searches_2026_06,priority_bucket
balloon house rental,USD,210,-35%,-58%,High,95,0.92,2.11,,,,,,260,260,260,210,110,90,320,140,170,170,170,110,deprioritize_rental
inflatable bounce house water slide,USD,12100,124%,-18%,High,100,0.38,1.75,,,,,,27100,14800,5400,2400,1900,1900,2900,4400,12100,14800,22200,33100,other
wet bounce house rentals,USD,90,189%,-33%,High,93,0.73,1.95,,,,,,320,140,40,30,0,0,10,10,40,90,170,260,deprioritize_rental
inflatable jumpers for sale,USD,210,-19%,21%,High,100,0.21,0.99,,,,,,110,140,140,720,140,140,110,140,210,210,170,170,secondary
industrial water slide,USD,260,126%,0%,High,100,0.27,1.72,,,,,,720,260,110,70,40,20,50,70,210,390,590,880,other
commercial waterslide,USD,320,83%,0%,High,100,0.35,2.21,,,,,,590,260,110,70,30,50,110,110,390,480,480,880,primary
commercial bouncy castle,USD,110,-29%,-76%,High,100,0.25,1.52,,,,,,170,210,260,110,40,50,70,70,90,70,70,50,primary
bounce house houston,USD,390,-18%,-33%,High,68,0.80,3.89,,,,,,390,390,390,390,390,320,390,320,480,390,390,320,other
black bounce house,USD,320,0%,0%,High,99,0.42,1.70,,,,,,390,480,590,480,210,170,260,260,260,260,260,260,other
moonwalk bounce house,USD,320,0%,-18%,High,99,0.30,2.31,,,,,,320,320,320,320,260,170,210,320,320,320,390,320,other
bounce house with slide for sale,USD,480,23%,-18%,High,100,0.26,1.08,,,,,,720,480,480,390,390,320,320,320,590,480,590,590,secondary
buy inflatable water slide,USD,4400,23%,-33%,High,100,0.27,1.28,,,,,,12100,4400,1900,720,590,590,3600,880,4400,6600,5400,8100,secondary
party rentals bounce house,USD,1300,-12%,0%,High,68,0.83,2.29,,,,,,880,2400,5400,590,590,320,590,390,880,1000,880,880,deprioritize_rental
cheap inflatables,USD,260,0%,-19%,High,100,0.25,1.60,,,,,,210,140,210,320,320,320,140,170,210,260,320,260,other
blow up slides for sale,USD,70,100%,-18%,High,100,0.28,1.21,,,,,,170,50,50,40,40,40,20,30,70,70,90,140,secondary
custom inflatables near me,USD,30,-67%,-67%,High,98,11.13,27.17,,,,,,20,20,40,20,20,20,20,30,90,30,20,10,deprioritize_rental
water slides for sale near me,USD,480,233%,23%,High,100,0.23,0.95,,,,,,1300,390,140,50,40,40,50,70,320,480,880,1600,secondary
blow up slide rental near me,USD,210,129%,-19%,High,77,0.71,2.01,,,,,,480,320,170,110,90,40,70,90,110,170,390,390,deprioritize_rental
large bounce house rental,USD,140,21%,0%,High,100,0.70,2.09,,,,,,170,170,210,140,90,70,70,90,170,140,170,170,deprioritize_rental
adult jump house,USD,4400,22%,-19%,High,100,0.26,1.69,,,,,,6600,5400,4400,3600,2900,2400,3600,2900,5400,5400,6600,6600,other
big bounce house rental,USD,260,0%,-18%,High,85,0.51,1.79,,,,,,260,320,260,260,140,90,170,170,260,320,390,320,deprioritize_rental
party bounce house,USD,1300,-38%,-47%,High,97,0.77,2.37,,,,,,1300,2400,1600,1300,880,720,1300,1300,1600,1600,1600,1000,other
blow up castle,USD,210,24%,24%,High,100,0.30,1.56,,,,,,210,210,210,260,170,210,170,170,210,210,210,260,other
white jump house,USD,260,-34%,-19%,High,100,0.27,1.53,,,,,,260,260,260,260,170,140,260,260,320,320,210,210,other
small inflatable bounce house,USD,320,0%,-19%,High,100,0.17,1.21,,,,,,320,320,320,320,320,390,260,260,320,390,390,390,other
large inflatables,USD,480,51%,-18%,High,100,0.47,3.18,,,,,,590,390,590,480,590,720,260,260,390,390,390,590,other
bounce house white,USD,5400,-18%,-18%,High,100,0.31,1.65,,,,,,6600,6600,6600,5400,3600,2900,5400,4400,6600,6600,6600,5400,other
pastel bounce house,USD,320,-19%,50%,High,100,0.27,1.28,,,,,,320,210,210,210,210,210,260,320,590,590,480,480,other
buy water slide,USD,210,84%,-18%,High,100,0.23,1.06,,,,,,480,260,110,30,70,20,30,70,170,320,480,590,secondary
inflatable party,USD,590,23%,-33%,High,100,0.70,2.29,,,,,,880,720,1000,720,480,390,480,390,590,480,720,590,other
big blow up water slide,USD,2400,175%,0%,High,100,0.32,1.71,,,,,,5400,2900,1600,720,590,480,480,720,1900,2400,4400,6600,other
jumping balloon,USD,880,-12%,-12%,High,100,0.28,1.65,,,,,,1000,880,880,1000,880,720,720,720,1000,1000,1000,880,other
inflatable business,USD,210,-19%,-19%,High,99,0.71,4.02,,,,,,210,210,260,210,210,170,170,140,260,260,210,210,other
bounce house rental new york,USD,320,23%,-19%,High,90,0.73,1.75,,,,,,590,390,390,210,140,90,170,140,320,390,480,480,deprioritize_rental
inflatables to buy,USD,1600,0%,-21%,High,100,0.31,2.38,,,,,,2400,1600,1300,1600,1600,1600,1300,1000,1900,1900,2400,1900,other
bounce house rental nearby,USD,320,0%,-81%,Medium,52,0.81,2.34,,,,,,590,590,480,390,260,140,210,90,210,170,210,170,deprioritize_rental
bouncy castle purchase,USD,480,-33%,-33%,High,100,0.22,1.14,,,,,,590,480,480,390,390,480,390,320,590,720,720,480,other
blow up jump house rental,USD,480,0%,-19%,High,99,0.56,1.93,,,,,,590,720,590,480,320,170,260,260,480,480,480,480,deprioritize_rental
party jumpers for sale,USD,170,-18%,-18%,High,100,0.15,0.90,,,,,,170,170,170,140,140,110,170,140,210,170,210,140,secondary
combo bounce house rental,USD,210,0%,-34%,High,74,0.71,2.28,,,,,,260,260,260,170,110,70,210,140,260,210,210,210,deprioritize_rental
cheap bounce house for sale,USD,1000,-18%,-33%,High,100,0.21,1.09,,,,,,390,320,260,170,110,110,140,880,8100,390,480,320,secondary
jumper water slide rental,USD,590,122%,-33%,High,76,0.60,1.95,,,,,,1600,880,210,50,40,30,90,170,590,720,720,1600,deprioritize_rental
blow up castle rental,USD,1300,-21%,-99%,Medium,57,0.68,1.85,,,,,,9900,4400,1300,110,170,40,260,140,260,140,140,110,deprioritize_rental
commercial blow up water slide,USD,1300,177%,0%,High,100,0.32,1.75,,,,,,2900,1600,880,390,210,210,260,320,880,1300,1900,3600,primary
bouncy castle manufacturers,USD,20,0%,0%,High,100,0.97,2.62,,,,,,10,20,20,10,10,20,70,10,30,10,10,10,primary
construction bounce house rental near me,USD,70,-29%,-55%,Medium,47,0.89,2.02,,,,,,140,170,110,90,40,20,50,70,50,70,50,50,deprioritize_rental
inflatables for adults,USD,590,30%,30%,High,100,0.26,1.57,,,,,,880,590,480,590,260,210,260,260,720,1000,1000,1300,other
jumpers for parties,USD,480,-34%,-34%,High,100,0.75,2.25,,,,,,480,480,480,480,390,320,480,480,590,590,480,390,other
used commercial water slides for sale,USD,590,81%,-55%,High,99,0.20,1.85,,,,,,1600,720,390,170,90,90,140,210,590,720,1000,1300,primary
13x13 bounce house,USD,390,-19%,-19%,High,100,0.33,1.60,,,,,,390,390,320,390,260,170,260,320,590,480,480,390,other
bounce house slide combo,USD,480,22%,22%,High,100,0.50,1.88,,,,,,480,390,720,320,260,140,260,260,480,590,720,720,other
pokemon bounce house,USD,320,-33%,52%,High,100,0.89,2.01,,,,,,320,320,390,260,170,170,320,320,480,480,390,320,other
fire truck bounce house,USD,390,-19%,-34%,High,100,0.61,1.94,,,,,,590,590,590,480,320,260,320,390,390,480,390,390,other
water slide inflatable for adults,USD,170,129%,-33%,High,100,0.26,1.49,,,,,,480,140,30,10,10,10,10,20,210,210,260,480,other
bounce house vendors,USD,50,-29%,-29%,High,100,0.69,2.78,,,,,,50,40,40,40,20,10,50,40,90,70,70,50,other
bounce house purchase price,USD,70,-36%,0%,High,100,0.17,0.62,,,,,,90,70,50,70,40,30,20,50,90,140,170,90,other
space bounce house,USD,140,0%,-18%,High,98,0.60,2.25,,,,,,140,170,140,110,70,70,110,110,170,140,140,140,other
bouncy slide,USD,390,51%,-18%,High,100,0.38,1.70,,,,,,590,480,390,320,210,170,170,210,390,390,590,590,other
commercial bounce house clearance,USD,110,-35%,325%,High,100,0.28,1.43,,,,,,70,50,90,70,70,40,30,170,210,260,170,170,primary
combo bounce house,USD,480,-19%,-33%,High,100,0.51,1.88,,,,,,480,590,720,320,390,210,320,320,720,590,590,480,other
large inflatable bounce house,USD,390,23%,-19%,High,100,0.29,1.59,,,,,,590,590,720,480,320,210,260,170,320,390,480,480,other
commercial jumping castle for sale,USD,30,25%,-29%,High,100,0.33,2.66,,,,,,50,40,20,20,20,20,10,30,30,40,30,50,primary
jumping rentals,USD,3600,0%,0%,Medium,65,0.67,2.07,,,,,,2900,2900,2900,3600,2400,1900,2900,2900,4400,3600,3600,3600,deprioritize_rental
bounce house and water slide,USD,12100,124%,-18%,High,100,0.38,1.75,,,,,,27100,14800,5400,2400,1900,1900,2900,4400,12100,14800,22200,33100,other
15x15 bounce house,USD,260,0%,-18%,High,100,0.30,1.43,,,,,,320,260,320,260,140,140,140,140,260,320,320,320,other
blow up play house,USD,170,-19%,0%,High,100,0.32,1.69,,,,,,210,170,140,170,210,210,110,140,260,260,210,210,other
bounce house supplier,USD,260,-19%,-33%,High,100,0.54,3.08,,,,,,260,320,390,210,110,170,210,170,320,320,260,260,other
bounce house warehouse,USD,90,0%,-21%,High,99,0.28,1.61,,,,,,110,110,70,70,90,50,70,70,90,110,110,110,other
bounce house companies near me,USD,260,50%,23%,Medium,57,0.91,3.06,,,,,,260,320,260,260,170,140,210,210,390,320,320,480,deprioritize_rental
large water slides for sale,USD,590,122%,60%,High,100,0.22,1.23,,,,,,1000,390,480,170,110,110,140,140,590,720,1000,1600,secondary
inflatable waterslide for sale,USD,70,420%,86%,High,100,0.27,1.51,,,,,,140,70,30,20,10,20,10,10,50,50,140,260,secondary
commercial inflatable obstacle course,USD,110,-18%,-36%,High,100,0.44,2.27,,,,,,170,140,140,140,70,50,90,90,140,110,140,90,primary
water bounce house for adults,USD,140,182%,0%,High,100,0.26,1.66,,,,,,210,110,90,40,10,20,30,30,110,170,210,480,other
best bounce house to buy,USD,70,-44%,-55%,High,100,0.43,1.41,,,,,,70,90,110,70,70,30,30,50,70,90,70,50,other
pokemon bounce house near me,USD,30,-33%,-50%,High,100,0.75,2.40,,,,,,30,20,30,20,20,30,20,30,30,30,30,20,deprioritize_rental
large inflatable slide,USD,320,86%,-34%,High,99,0.33,1.79,,,,,,480,480,590,320,140,140,110,140,320,210,390,390,other
rainbow bounce house rental,USD,40,-25%,-40%,Medium,55,0.68,1.86,,,,,,40,50,50,30,10,10,40,30,50,40,40,30,deprioritize_rental
blow up slide rentals,USD,1000,46%,0%,High,87,0.72,1.97,,,,,,1900,1300,880,590,320,210,390,480,1000,1300,1600,1900,deprioritize_rental
best inflatable bounce house,USD,50,0%,-22%,High,100,0.47,1.32,,,,,,90,50,50,50,90,40,20,30,50,70,70,70,other
commercial moon bounce for sale,USD,50,25%,-29%,High,100,0.39,2.25,,,,,,50,50,50,30,40,10,20,70,90,40,30,50,primary
cutting edge inflatables,USD,170,0%,-19%,High,100,1.01,4.60,,,,,,210,210,170,140,170,90,110,140,210,170,170,170,branded
bounce house black friday,USD,70,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,720,40,10,10,20,10,10,0,other
commercial inflatables wholesale,USD,30,100%,-50%,Medium,48,0.88,3.18,,,,,,20,20,110,20,30,20,10,10,10,10,10,20,primary
bounce house for 10 year olds,USD,140,0%,21%,High,100,0.24,0.94,,,,,,110,140,110,110,110,110,70,110,170,170,170,170,other
best water bounce house,USD,70,200%,-34%,High,100,0.44,1.23,,,,,,170,30,10,10,10,10,10,10,50,70,140,210,other
inflatable companies near me,USD,260,22%,0%,Medium,63,1.04,3.07,,,,,,390,320,320,210,140,90,170,210,320,320,320,390,deprioritize_rental
bounce house banners,USD,210,-34%,0%,High,100,0.39,3.30,,,,,,210,210,260,170,140,90,210,260,320,320,260,210,other
large bouncy castle for sale,USD,20,0%,-60%,High,94,0.28,1.69,,,,,,30,20,10,10,10,10,10,10,10,20,30,20,secondary
bounce house packages,USD,70,0%,-36%,High,100,0.63,2.37,,,,,,90,110,50,70,50,40,40,50,90,70,90,70,other
bounce house clearance,USD,390,23%,23%,High,100,0.16,0.91,,,,,,480,720,590,390,260,210,320,260,480,390,390,480,other
industrial inflatable water slide,USD,110,191%,0%,High,100,0.26,1.62,,,,,,320,140,40,30,30,30,20,30,90,110,210,320,other
bounce party rentals,USD,260,-19%,-19%,Medium,40,0.77,2.28,,,,,,320,210,170,210,140,170,260,210,260,320,320,260,deprioritize_rental
moonwalk inflatables,USD,260,22%,0%,High,100,0.02,2.28,,,,,,390,260,320,260,140,140,170,210,320,320,480,390,other
water slide jumper for sale,USD,260,84%,0%,High,100,0.20,1.14,,,,,,590,260,90,40,40,30,70,110,390,320,390,590,secondary
blow up bounce house for sale,USD,1300,0%,-32%,High,100,0.27,1.38,,,,,,1600,2400,2400,1300,1000,880,880,880,1300,1300,1300,1300,secondary
inflatable manufacturers,USD,140,-33%,-33%,High,88,1.84,6.01,,,,,,210,170,210,110,90,140,90,110,170,210,170,140,primary
bounce house water slide combo,USD,210,85%,0%,High,100,0.45,1.79,,,,,,260,210,140,260,90,50,50,70,170,260,320,480,other
inflatable castle for sale,USD,480,-33%,-33%,High,100,0.22,1.14,,,,,,590,480,480,390,390,480,390,320,590,720,720,480,secondary
commercial size bounce house,USD,70,0%,-18%,High,100,0.27,1.03,,,,,,140,90,70,40,40,30,40,40,90,90,70,90,primary
jumping castle with slide,USD,140,0%,-19%,High,99,0.51,1.76,,,,,,170,210,170,90,50,50,90,90,140,170,140,170,other
huge bounce house,USD,1000,60%,0%,High,100,0.24,1.51,,,,,,1600,1300,1300,880,720,480,720,720,880,1000,1300,1600,other
hullabaloo bounce house,USD,140,-19%,21%,High,100,1.13,2.04,,,,,,140,110,140,110,110,70,90,140,210,210,140,170,other
extra large bounce house,USD,110,0%,21%,High,100,0.28,1.53,,,,,,140,110,90,70,90,90,70,90,170,170,170,170,other
modern bounce house rental,USD,70,-29%,-44%,High,90,1.07,2.35,,,,,,90,110,110,70,50,40,70,70,110,70,110,50,deprioritize_rental
affordable bounce house,USD,210,-19%,-19%,High,100,0.77,2.23,,,,,,320,260,260,210,110,90,110,170,320,320,390,260,other
water slides for adults for sale,USD,320,108%,0%,High,100,0.21,1.03,,,,,,720,210,90,30,30,30,70,110,320,480,720,1000,secondary
bounce house rental prices near me,USD,50,25%,-64%,Medium,50,0.63,1.94,,,,,,110,90,70,90,40,10,30,20,70,40,70,50,deprioritize_rental
large inflatable water slide for adults,USD,320,125%,-45%,High,100,0.28,1.60,,,,,,1000,390,110,70,30,50,50,110,390,320,480,720,other
wet bounce house,USD,170,129%,-19%,High,100,0.43,1.80,,,,,,390,210,90,30,20,20,30,30,210,210,390,480,other
water slide bounce house rentals near me,USD,390,156%,0%,High,78,0.73,2.12,,,,,,880,590,480,50,20,20,50,70,260,390,880,1000,deprioritize_rental
inflatable slides near me,USD,260,181%,0%,High,99,0.75,2.41,,,,,,480,260,210,140,110,70,480,110,170,210,260,590,deprioritize_rental
small white bounce house,USD,170,0%,0%,High,100,0.23,1.21,,,,,,170,210,170,210,140,110,260,170,210,170,170,170,other
jumper with slide rental,USD,210,0%,-19%,High,84,0.68,2.02,,,,,,260,210,210,210,140,110,140,140,210,260,210,260,deprioritize_rental
bounce house los angeles,USD,210,-19%,-47%,High,96,1.09,4.08,,,,,,260,260,260,260,210,110,170,170,260,210,260,170,other
indoor bouncy castle rental,USD,10,0%,0%,Low,21,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,deprioritize_rental
bounce house san antonio,USD,390,-64%,-19%,High,73,0.68,1.88,,,,,,320,390,390,390,390,260,390,390,720,720,480,260,other
obstacle course water slide rental,USD,90,91%,0%,High,71,0.55,1.86,,,,,,210,70,30,10,10,10,30,10,90,110,170,210,deprioritize_rental
water bouncy castle rental,USD,10,100%,-50%,High,99,1.25,2.26,,,,,,40,10,10,10,10,0,10,10,10,10,20,20,deprioritize_rental
commercial white bounce house,USD,50,0%,-22%,High,100,0.53,2.31,,,,,,50,50,50,40,20,40,30,50,50,70,70,70,primary
wet dry bounce house,USD,210,22%,-19%,High,100,0.42,1.64,,,,,,320,210,140,90,90,50,90,140,390,320,320,390,other
ninja bounce house,USD,320,0%,0%,High,100,0.62,2.52,,,,,,320,390,320,320,210,210,260,260,390,320,480,320,other
home bounce house,USD,260,-19%,-19%,High,100,0.26,1.22,,,,,,260,210,260,320,390,320,170,210,320,320,320,260,other
blow up slides for rent near me,USD,210,129%,-19%,High,77,0.71,2.01,,,,,,480,320,170,110,90,40,70,90,110,170,390,390,deprioritize_rental
open bounce house rental,USD,30,-33%,-50%,High,95,1.34,2.31,,,,,,40,40,50,40,30,20,20,10,40,30,20,20,deprioritize_rental
water moon bounce rental,USD,40,120%,0%,High,100,0.93,2.18,,,,,,90,40,10,10,10,10,10,10,30,50,70,110,deprioritize_rental
inflatable rentals for adults,USD,210,-18%,-33%,High,73,0.65,1.96,,,,,,390,210,110,90,70,30,90,50,320,390,320,320,deprioritize_rental
inflatable company,USD,320,-33%,23%,Medium,66,1.29,4.44,,,,,,210,210,480,320,210,140,110,140,210,480,720,320,other
full size bounce house,USD,90,0%,0%,High,100,0.23,0.84,,,,,,110,110,90,70,70,70,50,70,110,110,90,110,other
giant water slides for sale,USD,210,127%,-18%,High,100,0.22,1.38,,,,,,590,260,260,140,50,50,70,70,110,260,390,590,secondary
bigtop inflatables,USD,480,0%,-18%,High,100,0.28,2.14,,,,,,720,390,320,320,260,210,480,480,720,720,720,720,other
buy bounce house with slide,USD,70,29%,0%,High,100,0.28,1.32,,,,,,70,90,90,70,20,50,50,50,140,70,70,90,secondary
obstacle course bounce house for sale,USD,210,-19%,-35%,High,100,0.26,1.30,,,,,,140,260,260,210,170,90,170,140,260,210,260,170,secondary
bounce house for sale under $500,USD,10,-67%,-67%,High,100,0.33,1.09,,,,,,20,20,10,10,10,0,10,10,10,30,10,10,secondary
commercial inflatable slide,USD,170,88%,-18%,High,100,0.33,1.87,,,,,,260,210,210,140,110,90,70,90,210,170,210,320,primary
giant bounce house for sale,USD,90,0%,0%,High,100,0.21,0.87,,,,,,90,90,90,90,50,40,70,70,90,110,110,110,secondary
jumping castle purchase,USD,30,0%,-40%,High,100,0.27,2.81,,,,,,30,30,20,30,20,10,20,30,30,30,50,30,other
pink bounce house rental near me,USD,70,-55%,-44%,Medium,66,0.92,1.99,,,,,,90,50,70,40,20,40,70,30,90,110,110,50,deprioritize_rental
inflatable bouncy castle rental,USD,1300,-21%,-99%,Medium,57,0.68,1.85,,,,,,9900,4400,1300,110,170,40,260,140,260,140,140,110,deprioritize_rental
commercial bounce house blower,USD,170,24%,-34%,High,100,0.35,1.55,,,,,,260,170,260,90,90,50,70,90,170,170,210,210,primary
batman bounce house rental,USD,30,-33%,-50%,Medium,52,1.01,1.91,,,,,,30,50,40,30,20,10,20,20,50,30,20,20,deprioritize_rental
jungle bounce house,USD,170,24%,0%,High,98,0.61,2.31,,,,,,210,210,170,140,110,140,170,140,210,210,260,260,other
industrial inflatables,USD,70,-22%,-22%,High,100,0.28,2.68,,,,,,90,50,110,70,70,50,20,50,70,90,50,70,other
bounce house combo for sale,USD,140,24%,50%,High,100,0.32,1.69,,,,,,140,140,90,70,90,40,110,90,210,170,170,210,secondary
bounce house financing,USD,40,25%,0%,High,84,1.07,9.23,,,,,,40,40,90,90,20,30,30,20,40,40,30,50,other
commercial slides for sale,USD,50,-29%,-44%,High,100,0.77,3.98,,,,,,70,50,90,70,30,20,50,40,90,70,70,50,primary
bounce house business starter kits,USD,30,33%,-43%,High,100,0.22,1.82,,,,,,50,30,40,20,10,10,20,20,30,30,20,40,other
gorilla bounce house,USD,170,0%,-46%,High,97,0.76,3.31,,,,,,210,170,140,140,70,70,140,140,210,210,170,210,other
inflatable house rental,USD,110000,0%,-33%,High,84,0.79,2.13,,,,,,135000,135000,110000,90500,60500,40500,74000,74000,110000,110000,135000,110000,deprioritize_rental
bounce house small,USD,3600,0%,-18%,High,100,0.16,1.07,,,,,,3600,3600,3600,3600,3600,2900,2900,2900,3600,3600,4400,3600,other
atlanta inflatable rentals,USD,70,320%,91%,Low,30,1.47,2.37,,,,,,90,50,40,50,40,10,40,40,90,50,40,210,deprioritize_rental
jumping rentals near me,USD,5400,0%,-33%,High,70,0.73,2.52,,,,,,8100,5400,5400,5400,4400,2900,4400,4400,6600,5400,5400,5400,deprioritize_rental
bounce house manufacturers usa,USD,40,200%,-57%,High,100,0.57,2.07,,,,,,20,40,30,10,30,20,30,50,70,10,110,30,primary
used inflatables for sale,USD,210,0%,0%,High,100,0.26,1.07,,,,,,210,210,210,210,210,110,170,140,210,260,260,260,secondary
large bounce house for adults,USD,90,27%,0%,High,98,0.27,1.48,,,,,,140,140,140,90,50,40,40,50,90,110,90,140,other
moon walk for sale,USD,90,-36%,0%,High,94,0.21,1.00,,,,,,110,70,70,70,50,50,70,90,110,110,110,70,secondary
inflatable bounce house rental near me,USD,260,22%,22%,Medium,66,0.77,2.47,,,,,,320,260,390,260,140,140,110,170,320,320,390,390,deprioritize_rental
spacewalk rentals near me,USD,70,-22%,75%,Medium,65,0.83,2.01,,,,,,40,50,70,50,50,30,50,70,110,90,70,70,deprioritize_rental
commercial bounce house for adults,USD,40,50%,-40%,High,100,0.21,0.97,,,,,,40,70,110,40,40,50,20,30,30,20,30,30,primary
indoor outdoor bounce house,USD,140,29%,-36%,High,99,0.19,0.91,,,,,,170,90,140,170,320,210,140,110,90,70,110,90,other
air bounce rental,USD,20,-33%,0%,High,78,0.49,1.63,,,,,,20,30,20,20,10,10,10,20,20,30,20,20,deprioritize_rental
